iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,12/31/20,51526,121,124.429,2191,10,9.286,1323.612,3.108,3.196,56.283,0.257,0.239,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
ALB,Europe,Albania,12/31/20,58316,589,498.429,1181,7,8,20264.091,204.67,173.198,410.383,2.432,2.78,0.92,,,,,,,,,2350,247526,86.012,0.817,2208,0.767,0.226,4.4,tests performed,,,,,,,,,,56.48,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
DZA,Africa,Algeria,12/31/20,99610,299,371.857,2756,5,7.286,2271.554,6.819,8.48,62.849,0.114,0.166,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
AND,Europe,Andorra,12/31/20,8049,66,50,84,0,0.143,104173.947,854.203,647.124,1087.168,0,1.849,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
AGO,Africa,Angola,12/31/20,17553,120,74.857,405,0,1.714,534.073,3.651,2.278,12.323,0,0.052,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
ATG,North America,Antigua and Barbuda,12/31/20,159,1,0.714,5,0,0,1623.642,10.212,7.294,51.058,0,0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ARG,South America,Argentina,12/31/20,1625514,11586,8807,43245,82,133,35966.059,256.351,194.863,956.837,1.814,2.943,1.18,,,,,,,,,27658,4421410,97.828,0.612,25838,0.572,0.196,5.1,tests performed,32013,,,,15656,0.07,,,346,79.17,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARM,Asia,Armenia,12/31/20,159409,531,466.714,2823,16,15.571,53795.617,179.196,157.502,952.675,5.4,5.255,0.66,,,,,,,,,2855,593903,200.424,0.963,2570,0.867,0.182,5.5,tests performed,,,,,,,,,,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
AUS,Oceania,Australia,12/31/20,28425,20,21.571,909,0,0.143,1114.711,0.784,0.846,35.647,0,0.006,1.08,,,,,,,,,56285,11260636,441.596,2.207,53634,2.103,0,2486.4,tests performed,,,,,,,,,,70.83,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUT,Europe,Austria,12/31/20,360815,2913,1944.429,6222,73,68.143,40062.067,323.437,215.894,690.842,8.105,7.566,0.96,396,43.969,1946,216.069,,,,,26789,3836920,426.021,2.974,17948,1.993,0.108,9.2,tests performed,5011,5011,,8,1070,0.06,0.06,,119,82.41,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AZE,Asia,Azerbaijan,12/31/20,218700,1064,1234.143,2641,32,37.286,21569.802,104.94,121.72,260.475,3.156,3.677,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
BHS,North America,Bahamas,12/31/20,7871,14,11.857,170,0,0.143,20015.359,35.601,30.152,432.297,0,0.363,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,68.98,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHR,Asia,Bahrain,12/31/20,92675,250,229.286,352,0,0.286,54463.99,146.922,134.748,206.866,0,0.168,1.13,,,,,,,,,9988,2355313,1384.189,5.87,9129,5.365,0.025,39.8,units unclear,58643,58643,,1326,1225,3.45,3.45,,720,50.93,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BGD,Asia,Bangladesh,12/31/20,513510,1014,1058.286,7559,28,25.857,3118.052,6.157,6.426,45.899,0.17,0.157,0.83,,,,,,,,,13254,3224409,19.579,0.08,13135,0.08,0.081,12.4,tests performed,,,,,,,,,,80.09,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BRB,North America,Barbados,12/31/20,383,11,5.429,7,0,0,1332.772,38.278,18.89,24.359,0,0,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BLR,Europe,Belarus,12/31/20,194284,1923,1881.571,1424,10,9.429,20560.631,203.507,199.122,150.699,1.058,0.998,0.99,,,,,,,,,,,,,20061,2.123,0.094,10.7,tests performed,,,,,403,,,,43,27.78,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823
BEL,Europe,Belgium,12/31/20,646496,2254,1656,19528,87,70,55782.349,194.484,142.887,1684.957,7.507,6.04,0.9,494,42.624,2187,188.703,,,,,30510,6964607,600.935,2.633,25427,2.194,0.072,13.9,tests performed,786,786,,10,163,0.01,0.01,,14,60.19,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BLZ,North America,Belize,12/31/20,10776,52,40.857,248,6,2.857,27101.184,130.778,102.754,623.71,15.09,7.186,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BEN,Africa,Benin,12/31/20,3251,0,6.571,44,0,0,268.164,0,0.542,3.629,0,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
BTN,Asia,Bhutan,12/31/20,670,15,21.571,,,0,868.312,19.44,27.956,,,0,1.12,,,,,,,,,7339,281699,365.079,9.511,6189,8.021,0.003,286.9,samples tested,,,,,,,,,,81.94,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
BOL,South America,Bolivia,12/31/20,160124,1752,1000.429,9165,16,12.714,13717.434,150.09,85.704,785.143,1.371,1.089,1.46,,,,,,,,,4260,414737,35.53,0.365,2522,0.216,0.397,2.5,tests performed,,,,,,,,,,52.78,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BIH,Europe,Bosnia and Herzegovina,12/31/20,110985,0,383.857,4050,0,24.571,33828.485,0,117.001,1234.449,0,7.489,0.86,,,,,,,,,2440,514380,156.784,0.744,2494,0.76,0.154,6.5,tests performed,,,,,,,,,,42.59,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
BWA,Africa,Botswana,12/31/20,14805,105,111.429,42,2,0.286,6295.647,44.65,47.384,17.86,0.85,0.121,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BRA,South America,Brazil,12/31/20,7675973,56773,36004,194949,1074,709.571,36112.13,267.092,169.383,917.151,5.053,3.338,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,64.35,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRN,Asia,Brunei,12/31/20,157,0,0.714,3,0,0,358.871,0,1.633,6.857,0,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
BGR,Europe,Bulgaria,12/31/20,202266,1046,801.143,7576,61,79,29109.535,150.537,115.298,1090.316,8.779,11.369,0.75,467,67.209,4831,695.263,,,,,8473,1149545,165.439,1.219,4582,0.659,0.175,5.7,tests performed,,,,,1477,,,,213,53.7,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
BFA,Africa,Burkina Faso,12/31/20,6707,76,109.429,85,1,1.143,320.859,3.636,5.235,4.066,0.048,0.055,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
BDI,Africa,Burundi,12/31/20,818,9,6.429,2,0,0,68.793,0.757,0.541,0.168,0,0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
KHM,Asia,Cambodia,12/31/20,378,12,2.143,,,0,22.609,0.718,0.128,,,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594
CMR,Africa,Cameroon,12/31/20,26277,0,0,448,0,0,989.872,0,0,16.876,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
CAN,North America,Canada,12/31/20,584409,7143,6459.857,15762,112,122.857,15484.25,189.258,171.158,417.623,2.968,3.255,1.09,799,21.17,4187,110.937,,,,,100903,17965095,475.995,2.673,99420,2.634,0.065,15.4,tests performed,97582,,,13440,7455,0.26,,,198,70.83,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CPV,Africa,Cape Verde,12/31/20,11840,47,21.714,113,1,0.143,21295.424,84.534,39.055,203.242,1.799,0.257,1.1,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,64.81,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
CYM,North America,Cayman Islands,12/31/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,4184,,65720,256.496,,,,49903.029,,,13.22,,,,,83.92,
CAF,Africa,Central African Republic,12/31/20,4963,0,2.143,63,0,0,1027.586,0,0.444,13.044,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397
TCD,Africa,Chad,12/31/20,2113,36,22.143,104,0,0.286,128.639,2.192,1.348,6.331,0,0.017,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398
CHL,South America,Chile,12/31/20,608973,2023,2117.286,16608,109,43.571,31856.369,105.826,110.759,868.792,5.702,2.279,1.18,,,,,,,,,42570,6451428,337.485,2.227,34018,1.78,0.085,11.8,tests performed,8649,8649,,0,1176,0.05,0.05,,62,79.17,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHN,Asia,China,12/31/20,95963,87,82.857,4782,1,1.857,66.672,0.06,0.058,3.322,0.001,0.001,0.93,,,,,,,,,,,,,,,,,,4500000,,,,187500,0.31,,,130,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761
COL,South America,Colombia,12/31/20,1642775,16314,11858.429,43213,304,251.286,32285.414,320.619,233.053,849.264,5.975,4.939,1.06,,,,,,,,,83388,8104617,159.28,1.639,53924,1.06,0.258,3.9,tests performed,,,,,,,,,,60.19,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
COM,Africa,Comoros,12/31/20,823,58,15.429,10,1,0.429,946.418,66.698,17.742,11.5,1.15,0.493,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
COG,Africa,Congo,12/31/20,7107,199,76.571,108,1,1.143,1287.945,36.063,13.876,19.572,0.181,0.207,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574
CRI,North America,Costa Rica,12/31/20,169321,1207,904.429,2185,14,14.143,33238.557,236.94,177.544,428.926,2.748,2.776,1.09,,,,,,,,,2871,427761,83.972,0.564,2318,0.455,0.331,3,people tested,,,,,240,,,,47,63.89,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
CIV,Africa,Cote d'Ivoire,12/31/20,22490,124,59.857,137,0,0.571,852.596,4.701,2.269,5.194,0,0.022,1.46,,,,,,,,,1857,258506,9.8,0.07,1179,0.045,0.051,19.7,samples tested,,,,,,,,,,15.74,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
HRV,Europe,Croatia,12/31/20,210837,2391,1216.857,3920,60,65.143,51357.67,582.422,296.414,954.871,14.615,15.868,0.73,,,2524,614.82,,,,,8441,1019109,248.244,2.056,5180,1.262,0.235,4.3,people tested,,,,,1105,,,,269,50.93,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851
CUB,North America,Cuba,12/31/20,11863,176,163.714,146,1,1,1047.356,15.539,14.454,12.89,0.088,0.088,1.24,,,,,,,,,14094,1490767,131.616,1.244,13774,1.216,0.012,84.1,tests performed,,,,,,,,,,56.48,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
CYP,Europe,Cyprus,12/31/20,22019,0,386.143,119,0,1.714,25138.743,0,440.853,135.86,0,1.957,1.16,27,30.825,160,182.669,,,,,12643,1037630,1184.646,14.434,10363,11.831,0.037,26.8,tests performed,,,,,,,,,,74.07,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887
CZE,Europe,Czechia,12/31/20,718661,17039,8314.286,11580,151,114.857,67108.246,1591.094,776.384,1081.335,14.1,10.725,1.35,879,82.081,6142,573.537,,,,,47148,,,4.403,44680,4.172,0.215,4.7,tests performed,11770,11770,,1306,2630,0.11,0.11,,246,73.15,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9
COD,Africa,Democratic Republic of Congo,12/31/20,17658,282,196.571,591,7,2.571,197.161,3.149,2.195,6.599,0.078,0.029,1.1,,,,,,,,,718,,,0.008,525,0.006,0.374,2.7,samples tested,,,,,,,,,,26.85,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48
DNK,Europe,Denmark,12/31/20,164116,2254,2455.571,1298,42,26.286,28333.952,389.144,423.944,224.094,7.251,4.538,0.84,132,22.789,879,151.756,,,,,34469,10539866,1819.664,5.951,77911,13.451,0.032,31.7,tests performed,34553,34553,,6067,7044,0.6,0.6,,1216,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94
DJI,Africa,Djibouti,12/31/20,5831,7,4.429,61,0,0,5901.81,7.085,4.482,61.741,0,0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
DMA,North America,Dominica,12/31/20,88,0,0,,,0,1222.375,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742
DOM,North America,Dominican Republic,12/31/20,170785,1206,1018.714,2414,5,1.429,15743.594,111.174,93.909,222.531,0.461,0.132,1.11,,,,,,,,,6384,876244,80.775,0.589,3737,0.344,0.273,3.7,samples tested,,,,,,,,,,70.37,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
ECU,South America,Ecuador,12/31/20,212512,1000,643.143,14034,11,8.143,12045.076,56.68,36.453,795.44,0.623,0.462,1.16,,,,,,,,,2697,700284,39.692,0.153,2631,0.149,0.244,4.1,people tested,,,,,,,,,,73.15,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759
EGY,Africa,Egypt,12/31/20,138062,1418,1295.571,7631,55,53,1349.126,13.857,12.66,74.569,0.537,0.518,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
SLV,North America,El Salvador,12/31/20,46242,282,231.857,1327,0,6.286,7129.289,43.477,35.746,204.588,0,0.969,1.04,,,,,,,,,2441,621580,95.831,0.376,2086,0.322,0.111,9,tests performed,,,,,,,,,,47.22,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
GNQ,Africa,Equatorial Guinea,12/31/20,5277,13,5.857,86,0,0.143,3761.266,9.266,4.175,61.298,0,0.102,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592
ERI,Africa,Eritrea,12/31/20,1320,68,52.714,3,2,0.286,372.206,19.174,14.864,0.846,0.564,0.081,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,89.81,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459
EST,Europe,Estonia,12/31/20,27990,734,568.714,229,3,4.857,21100.02,553.32,428.72,172.63,2.262,3.662,1.04,43,32.415,390,293.998,,,,,3558,638374,481.233,2.682,4159,3.135,0.137,7.3,tests performed,1907,,,1023,567,0.14,,,427,55.56,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
SWZ,Africa,Eswatini,12/31/20,9358,212,189.429,205,21,7.286,8066.101,182.733,163.277,176.699,18.101,6.28,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
ETH,Africa,Ethiopia,12/31/20,124264,408,409.286,1923,5,5.857,1080.899,3.549,3.56,16.727,0.043,0.051,0.96,,,,,,,,,5547,1800236,15.659,0.048,5341,0.046,0.077,13,tests performed,,,,,,,,,,51.85,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
FJI,Oceania,Fiji,12/31/20,49,0,0.429,2,0,0,54.66,0,0.478,2.231,0,0,,,,,,,,,,69,21365,23.833,0.077,104,0.116,0.004,242.4,tests performed,,,,,,,,,,45.37,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
FIN,Europe,Finland,12/31/20,36107,249,237.143,561,5,5.286,6516.664,44.94,42.8,101.25,0.902,0.954,0.92,27,4.873,199,35.916,,,,,11974,2505529,452.203,2.161,10604,1.914,0.022,44.7,tests performed,1767,,,,,0.03,,,,52.31,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
FRA,Europe,France,12/31/20,2677666,20042,13333.286,64759,251,338.571,39292.104,294.097,195.653,950.274,3.683,4.968,1.09,2625,38.519,24407,358.149,,,,,341672,,,5.014,261190,3.833,0.051,19.6,people tested,381,381,,83,91,0,0,,1,63.89,68147687,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
GAB,Africa,Gabon,12/31/20,9571,0,14.571,64,0,0,4300.166,0,6.547,28.755,0,0,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703
GMB,Africa,Gambia,12/31/20,3797,0,0.857,124,0,0.143,1571.174,0,0.355,51.31,0,0.059,0.96,,,,,,,,,113,30495,12.619,0.047,143,0.059,0.006,166.9,samples tested,,,,,,,,,,45.37,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
GEO,Asia,Georgia,12/31/20,227420,1527,1511,2505,24,32.714,57009.281,382.786,378.775,627.949,6.016,8.201,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812
DEU,Europe,Germany,12/31/20,1760520,19367,18560.571,33791,561,637.286,21012.618,231.154,221.529,403.311,6.696,7.606,0.94,5622,67.101,,,,,,,,,,,135797,1.621,,,tests performed,204883,204139,744,50064,45095,0.24,0.24,0,538,82.41,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947
GHA,Africa,Ghana,12/31/20,54771,0,104,335,0,0.286,1762.659,0,3.347,10.781,0,0.009,1.22,,,,,,,,,906,672364,21.638,0.029,1870,0.06,0.056,18,samples tested,,,,,,,,,,38.89,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GRC,Europe,Greece,12/31/20,138850,932,659.286,4838,50,54.429,13321.429,89.417,63.253,464.163,4.797,5.222,0.86,,,,,,,,,31923,3382488,324.52,3.063,21178,2.032,0.031,32.1,samples tested,2339,2339,,617,631,0.02,0.02,,61,84.26,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888
GRD,North America,Grenada,12/31/20,127,0,3.143,,,0,1128.698,0,27.932,,,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779
GTM,North America,Guatemala,12/31/20,138012,846,445.429,4813,10,9.143,7703.468,47.222,24.863,268.649,0.558,0.51,1.09,,,,,,,,,1208,609664,34.03,0.067,2445,0.136,0.182,5.5,people tested,,,,,,,,,,52.31,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GIN,Africa,Guinea,12/31/20,13722,15,13.143,81,1,0.143,1044.865,1.142,1.001,6.168,0.076,0.011,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477
GNB,Africa,Guinea-Bissau,12/31/20,2452,0,0.714,45,0,0,1245.936,0,0.363,22.866,0,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48
GUY,South America,Guyana,12/31/20,6332,13,9.429,164,0,0.286,8050.254,16.528,11.987,208.503,0,0.363,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682
HTI,North America,Haiti,12/31/20,9999,0,21.857,236,0,0.143,876.91,0,1.917,20.697,0,0.013,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51
HND,North America,Honduras,12/31/20,121827,915,541.571,3130,19,10.857,12300.032,92.381,54.679,316.015,1.918,1.096,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634
HKG,Asia,Hong Kong,12/31/20,,,,,,,,,,,,,,,,,,,,,,,5802600,773.991,,,,,,tests performed,,,,,,,,,,71.3,7496988,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949
HUN,Europe,Hungary,12/31/20,322514,2971,1565.714,9537,108,115.429,33385.333,307.546,162.076,987.231,11.18,11.949,0.83,,,5856,606.189,,,,,17390,2227027,230.533,1.8,11638,1.205,0.135,7.4,tests performed,5110,,,1321,1339,0.05,,,139,72.22,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
ISL,Europe,Iceland,12/31/20,5754,0,10.143,29,0,0.143,16861.538,0,29.723,84.982,0,0.419,1.11,,,,,,,,,596,241421,707.461,1.747,694,2.034,0.015,68.4,tests performed,,,,,63,,,,185,52.78,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
IND,Asia,India,12/31/20,10266674,0,17118.429,148738,0,235.143,7439.595,0,12.405,107.781,0,0.17,0.88,,,,,,,,,1127244,172049274,124.673,0.817,962987,0.698,0.018,56.3,samples tested,,,,,,,,,,68.98,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
IDN,Asia,Indonesia,12/31/20,743198,8074,7194.286,22138,194,221.286,2717.125,29.518,26.302,80.936,0.709,0.809,1.08,,,,,,,,,37265,4912745,17.961,0.136,40994,0.15,0.175,5.7,people tested,,,,,,,,,,64.35,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
IRN,Asia,Iran,12/31/20,1225142,6389,5994.286,55223,128,130.714,14586.247,76.066,71.367,657.472,1.524,1.556,0.94,,,,,,,,,53721,7620667,90.73,0.64,52520,0.625,0.114,8.8,tests performed,,,,,,,,,,72.69,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
IRQ,Asia,Iraq,12/31/20,595291,849,926.857,12813,5,9.857,14799.949,21.108,23.043,318.553,0.124,0.245,0.8,,,,,,,,,,,,,36076,0.897,0.026,38.9,samples tested,,,,,,,,,,53.7,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674
