iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
RWA,Africa,Rwanda,12/31/20,8383,133,101.857,92,6,3.286,647.226,10.269,7.864,7.103,0.463,0.254,1.18,,,,,,,,,3409,725804,56.037,0.263,3548,0.274,0.029,34.8,samples tested,,,,,,,,,,61.11,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543
KNA,North America,Saint Kitts and Nevis,12/31/20,32,0,0.286,,,0,601.594,0,5.371,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779
LCA,North America,Saint Lucia,12/31/20,353,13,6.857,5,0,0,1922.354,70.795,37.342,27.229,0,0,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759
VCT,North America,Saint Vincent and the Grenadines,12/31/20,121,6,1.857,,,0,1090.611,54.08,16.739,,,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738
WSM,Oceania,Samoa,12/31/20,2,0,0,,,0,10.08,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198410,69.413,22,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
SMR,Europe,San Marino,12/31/20,2428,44,28.143,59,0,0.429,71542.224,1296.482,829.243,1738.464,0,12.628,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,
STP,Africa,Sao Tome and Principe,12/31/20,1014,0,0.286,17,0,0,4626.736,0,1.304,77.569,0,0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625
SAU,Asia,Saudi Arabia,12/31/20,362741,140,145.143,6223,9,9.143,10419.44,4.021,4.169,178.751,0.259,0.263,0.83,,,,,,,,,36383,11046767,317.309,1.045,32077,0.921,0.005,221,tests performed,,,,,,,,,,52.78,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854
SEN,Africa,Senegal,12/31/20,19140,195,134.286,410,8,4.143,1143.101,11.646,8.02,24.486,0.478,0.247,1.27,,,,,,,,,1402,277801,16.591,0.084,1296,0.077,0.104,9.7,tests performed,,,,,,,,,,43.52,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SRB,Europe,Serbia,12/31/20,337923,2932,3082.714,3211,48,47,49660.994,430.885,453.034,471.887,7.054,6.907,0.73,,,,,,,,,12897,2296303,337.464,1.895,13273,1.951,0.232,4.3,people tested,,,,,,,,,,60.19,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806
SYC,Africa,Seychelles,12/31/20,256,0,7.286,,,0,2603.213,0,74.087,,,0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796
